ds,GHI_A_DATA_Avg,POA_A_DATA_2_Avg,AirTC_Avg_Degree Celcius,RH_%,POA_A_DATA_3_Avg,WS_Avg_km/h,T110PV_C_Avg_Degree Celcius
11/21/2024 4:47:00 PM,211.538153808995,212.002151762485,35.7751603823741,19.4341257401358,200.675009650605,-16.1192494379933,44.7225994955789
11/21/2024 4:48:00 PM,208.343949330109,208.501234437465,35.7510811556105,19.4800176446281,197.240179161591,-16.1547005351826,44.6082818576367
11/21/2024 4:49:00 PM,205.158494245086,205.008593011962,35.7267423058682,19.5265112522834,193.81465519951,-16.1903887473622,44.4938379924857
11/21/2024 4:50:00 PM,201.982031848767,201.524499087695,35.7021452799008,19.5736036876874,190.398697451882,-16.2263111787334,44.3792755048244
11/21/2024 4:51:00 PM,198.81480462338,198.049223701872,35.6772915691244,19.6212919709514,186.99256485901,-16.2624648772616,44.2646020461266
11/21/2024 4:52:00 PM,195.657054120558,194.58303719668,35.6521827082926,19.6695730190615,183.596515488771,-16.2988468370301,44.1498253108054
11/21/2024 4:53:00 PM,192.509020946972,191.126209202864,35.6268202756429,19.7184436469642,180.210806521322,-16.335453998168,44.0349530359636
11/21/2024 4:54:00 PM,189.37094474883,187.679008622133,35.6012058928902,19.7679005663899,176.835694232649,-16.3722832472509,43.919993001008
11/21/2024 4:55:00 PM,186.24306410652,184.241703509931,35.5753412241936,19.8179403881763,173.47143388273,-16.4093314190843,43.8049530242668
11/21/2024 4:56:00 PM,183.125616517278,180.814561055877,35.5492279760471,19.8685596233947,170.11827969633,-16.4465952969821,43.6898409624317
11/21/2024 4:57:00 PM,180.018838384502,177.397847570482,35.5228678974866,19.91975468036,166.776484852924,-16.4840716131329,43.5746647105391
11/21/2024 4:58:00 PM,176.922964896464,173.991828350957,35.4962627786337,19.9715218707126,163.446301355693,-16.5217570505198,43.459432197638
11/21/2024 4:59:00 PM,173.838230066406,170.596767723706,35.4694144512976,20.0238574065299,160.127980075702,-16.5596482425766,43.3441513885565
11/21/2024 5:00:00 PM,169.870248181472,165.920347318714,35.4416670908566,20.0892777280507,155.661494120554,-16.61979033185,43.1899315610807
11/21/2024 5:01:00 PM,166.808487510873,162.547992419853,35.4143380042565,20.1427381993244,152.367644826286,-16.6580827434798,43.0745781796962
11/21/2024 5:02:00 PM,163.758559743117,159.187382435124,35.3867714478814,20.1967550674201,149.086402769424,-16.696570525528,42.9592005854194
11/21/2024 5:03:00 PM,160.720693511772,155.83877704588,35.3589694139462,20.2513241587307,145.818013562343,-16.735250125094,42.8438068626462
11/21/2024 5:04:00 PM,157.695116051071,152.502434708181,35.3309339340654,20.3064412045082,142.562721445114,-16.7741179444076,42.7284051240576
11/21/2024 5:05:00 PM,154.682053127428,149.17861257569,35.3026670789754,20.3621018423118,139.320769210462,-16.8131703413496,42.6130035081116
11/21/2024 5:06:00 PM,151.681728939163,145.867566387079,35.274170956952,20.4183016185188,136.09239809727,-16.8524036320146,42.4976101754107
11/21/2024 5:07:00 PM,148.694366151088,142.569550502368,35.2454477145682,20.475035985992,132.877847826957,-16.8918140903706,42.3822333101131
